Date;Beg;High;Low;End;Volume;Market Cap;Nada1;Nada2;Nada3;Nada4;Fecha
Jun 23, 2018;8,67;8,79;8,19;8,41;709,977,000;7,769,800,000;Jun;6;23;2018;23/06/2018
Jun 22, 2018;10,42;10,44;8,48;8,66;1,258,310,000;9,334,830,000;Jun;6;22;2018;22/06/2018
Jun 21, 2018;10,43;10,8;10,28;10,42;662,139,000;9,345,890,000;Jun;6;21;2018;21/06/2018
Jun 20, 2018;10,73;10,77;10,18;10,42;852,287,000;9,616,000,000;Jun;6;20;2018;20/06/2018
Jun 19, 2018;10,72;10,84;10,5;10,73;715,926,000;9,605,830,000;Jun;6;19;2018;19/06/2018
Jun 18, 2018;10,44;10,83;10,23;10,72;720,630,000;9,358,610,000;Jun;6;18;2018;18/06/2018
Jun 17, 2018;10,63;10,76;10,43;10,44;432,121,000;9,521,620,000;Jun;6;17;2018;17/06/2018
Jun 16, 2018;10,65;10,81;10,35;10,63;680,970,000;9,542,290,000;Jun;6;16;2018;16/06/2018
Jun 15, 2018;11,29;11,29;10,57;10,66;936,733,000;10,118,600,000;Jun;6;15;2018;15/06/2018
Jun 14, 2018;10,17;11,57;9,73;11,3;1,409,440,000;9,114,450,000;Jun;6;14;2018;14/06/2018
Jun 13, 2018;10,26;10,34;9,44;10,15;1,266,410,000;9,193,740,000;Jun;6;13;2018;13/06/2018
Jun 12, 2018;11,55;11,55;9,96;10,22;1,052,700,000;10,347,100,000;Jun;6;12;2018;12/06/2018
Jun 11, 2018;11,31;11,64;10,65;11,59;1,570,570,000;10,139,700,000;Jun;6;11;2018;11/06/2018
Jun 10, 2018;14,04;14,04;10,56;11,39;2,317,140,000;12,585,900,000;Jun;6;10;2018;10/06/2018
Jun 09, 2018;14,04;14,82;14,04;14,1;1,175,320,000;12,579,900,000;Jun;6;09;2018;09/06/2018
Jun 08, 2018;14,57;14,72;13,71;14,04;1,105,590,000;13,054,200,000;Jun;6;08;2018;08/06/2018
Jun 07, 2018;13,99;14,59;13,74;14,59;1,017,480,000;12,541,300,000;Jun;6;07;2018;07/06/2018
Jun 06, 2018;14,25;14,26;13,48;13,94;1,022,290,000;12,773,800,000;Jun;6;06;2018;06/06/2018
Jun 05, 2018;13,58;14,23;12,97;14,2;1,445,140,000;12,171,700,000;Jun;6;05;2018;05/06/2018
Jun 04, 2018;14,6;14,82;13,39;13,55;1,297,160,000;13,084,900,000;Jun;6;04;2018;04/06/2018
Jun 03, 2018;14,81;15,29;14,29;14,62;1,631,840,000;13,269,100,000;Jun;6;03;2018;03/06/2018
Jun 02, 2018;12,29;15,61;12,2;14,74;2,884,720,000;10,990,500,000;Jun;6;02;2018;02/06/2018
Jun 01, 2018;12,29;12,4;11,99;12,31;1,058,150,000;10,956,700,000;Jun;6;01;2018;01/06/2018
May 31, 2018;11,97;12,72;11,95;12,28;1,142,810,000;10,653,300,000;May;5;31;2018;31/05/2018
May 30, 2018;12,18;12,58;11,81;12,01;1,269,210,000;10,813,300,000;May;5;30;2018;30/05/2018
May 29, 2018;11,7;12,49;10,93;12,18;1,877,300,000;10,363,000,000;May;5;29;2018;29/05/2018
May 28, 2018;12,5;12,98;11,59;11,64;1,580,160,000;11,043,800,000;May;5;28;2018;28/05/2018
May 27, 2018;12,29;12,59;12,15;12,51;939,929,000;10,835,200,000;May;5;27;2018;27/05/2018
May 26, 2018;12,27;12,83;12;12,35;1,085,630,000;10,791,700,000;May;5;26;2018;26/05/2018
May 25, 2018;12,81;12,88;11,8;12,29;1,624,390,000;11,235,300,000;May;5;25;2018;25/05/2018
May 24, 2018;10,92;12,96;10,53;12,75;2,161,890,000;9,557,940,000;May;5;24;2018;24/05/2018
May 23, 2018;12,33;12,46;10,76;10,88;1,591,750,000;10,763,400,000;May;5;23;2018;23/05/2018
May 22, 2018;13,52;13,53;12,25;12,27;991,159,000;11,773,000,000;May;5;22;2018;22/05/2018
May 21, 2018;14,03;14,17;13,26;13,51;1,063,000,000;12,187,300,000;May;5;21;2018;21/05/2018
May 20, 2018;13,17;14,19;13,05;14,01;1,228,360,000;11,420,300,000;May;5;20;2018;20/05/2018
May 19, 2018;13,04;13,35;12,66;13,17;1,018,750,000;11,276,900,000;May;5;19;2018;19/05/2018
May 18, 2018;12,37;13,18;12,08;13;1,343,680,000;10,676,400,000;May;5;18;2018;18/05/2018
May 17, 2018;12,87;13,94;12,21;12,43;1,644,330,000;11,075,900,000;May;5;17;2018;17/05/2018
May 16, 2018;12,93;13,17;12,06;12,77;1,534,140,000;11,104,700,000;May;5;16;2018;16/05/2018
May 15, 2018;14,05;14,44;12,65;12,99;1,371,870,000;12,031,300,000;May;5;15;2018;15/05/2018
May 14, 2018;14,93;15,02;13,39;14,02;1,702,960,000;12,757,300,000;May;5;14;2018;14/05/2018
May 13, 2018;14,23;15,26;13,8;14,94;1,589,950,000;12,122,000,000;May;5;13;2018;13/05/2018
May 12, 2018;14,98;15,24;12,59;14,25;3,091,070,000;12,733,100,000;May;5;12;2018;12/05/2018
May 11, 2018;17,46;17,78;14,56;14,9;2,919,820,000;14,807,300,000;May;5;11;2018;11/05/2018
May 10, 2018;17,97;18,73;17,52;17,54;1,287,810,000;15,199,400,000;May;5;10;2018;10/05/2018
